Hotel Name,Phone,Website,City
The Ambassador,+91 11 6626 1000,https://www.vivantabytaj.com/Ambassador-New-Delhi/Overview.html,New Delhi
Radisson Blu Plaza Delhi Airport,,,
Hotel Surya,,,
Suryadev,,,
Jaypee Vasant Continental Hotel,,,
Parkland Hotel,,,
Vishal Residency Hotel,,,
Yatri Guesthouse,,,
Hotel Metropolis,,,
Hotel Tara Palace,,,
Star Paradise,,,
Vivek,,,
Vishal,,,
Hare Krishna Guest House,011 41541340,http://www.hotelharekrishna.com/,New Delhi
Anoop,,,
Radisson Blu Marina Hotel,+91 11 4690 9090,https://www.radissonblu.com/en/marinahotel-newdelhi?s_cid=os.apac-IN-blu-INDNEDL-gmb,New Delhi
Hotel Florence,,,
Imperial Hotel,,,New Delhi
Hotel Krishna,,,New Delhi
Fraser Suites,,,
Imperial Villa,+91 11 4997 7000,,
Gushi International,,,
Rak International,,,
Sapna,,,
Ajanta,+91 11 42350000,https://www.ajantahotel.com/,New Delhi
Wingflow Mansion,,,
IRCTC-Ginger Rail Yatri Niwas,,,
Indus Biznotel,+911140267700,https://www.indusbiznotel.com/,New Delhi
Red Fox Hotel,,,
Silver Ferns,,,
Country Inn By Carlson,,https://www.countryinns.com/new-delhi-hotel-in-110017/inddesk,
Uppal International,,,
the umbro,,,
sunstar heights,,,
Cottage Yes Please,,,
Mapple Express,,,
Ikhaya Hotel,+918527205267,,
Sri Vinayak,,,
Airport City,,,
Good Times,,,
Shanti Home,+91-11-4157-336,https://www.shantihome.com/index.html,
b nineteen,+91-11-41825500,https://bnineteen.com/,
Hotel Namaskar,,,
Hotel Arina Inn,,,
New Delhi City Centre,,,
Raj's Cozy Inn,,,
Sterling Inn,,,
Glow Inn,,,
Rajmahal Inn,,,
Gold Regency,,,
Satyam,,,
Aman International,,,
Guruvas Inn,,,
Hotel Durga International Dx,"+91 11 23521362 , 63, 64, 65",http://www.hoteldurgainternational.co.in,New Delhi
Hotel Krishna Deluxe,,,
Hotel South Gate,,,
Africa Avenue,,,Delhi
Select Hotel,,,
Hotel Alka Annexe,,,
Holiday Inn Hotels and Resorts,,,
Hotel Lal's Haveli,+9123614067,http://hotellalhaveli.com,Delhi
Clark's Inn,,,
Hotel Grand Park Inn,,,
Hotel City Star,,https://www.hotel-citystar.com/,
White House,,,
Shell Deluxe,,,
Amax Inn,+91-11-23543813,http://www.hotelamax.com/,
Hotel S&b East Inn,,,
Bloomrooms,+91 11 412 25666,http://bloomrooms.com/hotels-railwayst.php,New Delhi
Maharaja Residency ,+911122041111,https://www.maharajaresidency.com/,
Hotel City Heights,,,
Hotel Le Cadre,,,
Smyle Inn,+911145795192,https://www.smyleinn.com,New Delhi
Shangri-La's Eros Hotel,+91 11 41191919,https://www.shangri-la.com/newdelhi/erosshangrila/,New Delhi
the spot,91-11-23580168/69,www.hotelthespot.in,
HOTEL PALACE HEIGHTS,,,New Delhi
Hotel Sunstar Grand,,,
Metropolis Guest House,,,
Sewa Grand,,,
Hotel Arch,7290099602,https://www.hotelarch.co.in/,"Mahipalpur Extn,New Delh,India"
Kiran Hotel,,,
Hridey Inn,,,
Livasa Inn,,,
ASR Guest House,,,New Delhi
Holiday Inn,,,
क्राउन प्लाज़ा,91-11-41102222,https://www.ihg.com/crowneplaza/hotels/us/en/new-delhi/deldd/hoteldetail,
City Park Hotel,+911142310101,http://cityparkhotels.com,
City Park Hotel,,,
hotel Anupam palace,,,
cosmo,,,
You and Me,011235583563,,
Hotel Zara Grand,011 4678 6786,http://www.hotelzaragrand.com,
Hotel Shiv Shankara,,,
Sapphire Inn Dx 379,,,
The Lalit New Delhi,,,
Hotel SP,,,
Devna Bed & breakfast,,,
Shorout villa,,,
Parth Palace,,,
Atrio A Boutique Hotel,,,
Townhouse 002 OYO Rooms,,,
Hotel Singh Sons,,,
OYO 7684 Hotel Repose Villa,,,
Hotel Rockland,,,
Hotel Hamilton Lodge,,,
Hotel Moon Palace dx,,,
Shanti Palace,,,
The Janpath Hotel,,,
Hotel Vintage Inn,,,
International Inn,+919811388666,,
Hotel South View,,,
Shervani,,,
The Muse,,,
Tashi,,,
Hotel Delhi 37,01126784444,,
Hotel India International Sitare - correct location!!,,,
Hotel ramraj deluxe,,,
Hotel Clark International,,,
Shuhul Continental,,,
Hotel Saket 27,,,
"76, Friends Colony",,,
The Manor,,,
Yes Please Guest House,,,
Odisha Hotel,+91-99109-08551,,
Kehar Palace,,,
Jaypee Siddharth,,,
Hotel Perfect,+91 11 4250 2295,https://www.hotelperfect.co.in/,
Hotel Bella Vista,,,
J's Inn,,,
The desire Hostel,,,
Golden Grand,,,
Regent Grand,,,
Uttarakhand Sadan,,http://rc.uk.gov.in/sadan-niwas.php,
अरुणाचल हाउस,,,
The Royal Plaza,,https://www.hoteltheroyalplaza.com/,
Hotel Ashoka Palace,,,
City Hotel,+911142412121,,New Delhi
Hotel Sun International,+91 9810025353,,New Delhi
Prínce Palace Deluxe,,,
OYO Townhouse,,,
Chalet,+91-11-4183-1111;+91-11-4184-1111;+91-11-4283-1111,www.chaletdelhi.com,
Hotel Taj Princess,+917533000002,https://tajprincess.com/,
Wood Castle Hotel,+911125753555,https://www.woodcastledelhi.com/,
Hotel La Suite,,,
Picasso,,,
Wellcome hotel,,,
Hotel CityLite 2019,,,
The Umrao,+91-11-4770-7070,https://theumrao.com/,
The Sentinel,,,
Hotel Merry Gold,,,
Metropolitan Express,,,
Airport Hotell Metropolitan Express,+919953355999,,
Hotel Raj Villa,,,
Hotel President Inn,,,
Anantkoti,,,
Workcoh Hostel,,,
Hotel Rosette,,,
The Crescent,,,
Gracious Oyo 38425,,,
Mohit Guest House,,,
fab,,,
Delight Delhi Hotel,,,
Flagship Le Grand,,,
my hotel,,,
The Corus Hotel,+ 91-11- 43652222,https://www.hotelcorus.com/,New Delhi
Hotel Almati Inn,,,
OYO SilverKey,,,
Hôtel viva palace,,,
Hotel Shyama International,,,
Hotel Ambica Palace,+91 9810 258 367,https://www.booking.com/hotel/in/ambica-palace-aiims-delhi-local-id-allow.en-gb.html,New Delhi
karon Hotel,,,
North Avenue Hotel,911147300400,https://www.spreehotels.com/,
Hotel Delhi Aerocity (Purple Orchid),,,
Karon Hotels,,,
Clark’s Inn,,,
The Orion Plaza,,,
The Oakland Plaza,+911147000829,,
Continental Plaza or Daya Continental,,,
KUNDAN PALACE,,,
The Singh Empire,,,
Clark Inn,,,
Aromatic @ city center,,,
Ritz hotel,,,
Hotel Shandon,+91 11 4010 4455,https://hotelshandon.com,New Delhi
OYO 14710 - Hotel Pallvi Palace,01246201319,,
Royal Residence,,,
OYO Aakash Residency,,,
Hotel Richa Palace,,,
"Lemon Tree Premier, Delhi Airport","+91 11 6676 3950, +91 11 4423 2323",https://www.lemontreehotels.com/,New Delhi
my home,,,
Hotel The Cube Stay,+91-9999993990,,NEW DELHI
Oyo Flagship 77674,,,
Solitaire Hotel,,,
Major's Den,,,
Jerry House,+919711364052,,
Block q5,,,
Hotel Z,,,
Rainbow Residency,,,
The Grace House,,,
Blue Pearl,,,
Colonel‘s Retreat 2,,,
Dev Residency,,,
Connaught Royale,,,
Emarald,,,
Silver Shine,,,
The Prime Balaji Deluxe,,,
Goodwill Hotel,,,
Hotel Sky Rich International,,,
Mi Casa Inn,,,
Hotel Elegant,,,
Hotel Paras,,,
Swisston Palace,,,
Family Guest House,8860179444,,Bakoli
Kaushal Palace,,,
Le Roi Express,,,
Fabhotel f9,,,
Blue Pearl Hotel,,,
MS Residency,,,
